Walmart,94
Exxon Mobil,90
Apple,99
Berkshire Hathaway,56
Amazon.com,82
UnitedHealth Group,50
McKesson,75
CVS Health,53
AT&T,92
AmerisourceBergen,99
Chevron,67
Ford Motor,80
General Motors,80
Costco Wholesale,60
Alphabet,58
Cardinal Health,67
Walgreens Boots Alliance,89
JPMorgan Chase,61
Verizon Communications,51
Kroger,63
General Electric,82
Fannie Mae,84
Phillips 66,53
Valero Energy,52
Bank of America,66
Microsoft,95
Home Depot,99
Boeing,81
Wells Fargo,53
Citigroup,90
Marathon Petroleum,68
Comcast,86
Anthem,80
Dell Technologies,79
DuPont de Nemours,52
State Farm Insurance,76
Johnson & Johnson,95
IBM,79
Target,63
Freddie Mac,51
United Parcel Service,87
Lowe's,51
Intel,64
MetLife,59
Procter & Gamble,98
United Technologies,58
FedEx,81
PepsiCo,83
Archer Daniels Midland,96
Prudential Financial,52
Centene,69
Albertsons,54
Walt Disney,72
Sysco,95
HP,72
Humana,60
Facebook,85
Caterpillar,69
Energy Transfer,53
Lockheed Martin,51
Pfizer,82
Goldman Sachs Group,90
Morgan Stanley,61
Cisco Systems,87
Cigna,95
AIG,50
HCA Healthcare,89
American Airlines Group,64
Delta Air Lines,82
Charter Communications,72
New York Life Insurance,94
American Express,77
Nationwide,65
Best Buy,89
Liberty Mutual Insurance Group,100
Merck,70
Honeywell International,61
United Continental Holdings,76
TIAA,93
Tyson Foods,89
Oracle,73
Allstate,67
World Fuel Services,51
Massachusetts Mutual Life Insurance,99
TJX,75
ConocoPhillips,81
Deere,66
Tech Data,70
Enterprise Products Partners,62
Nike,99
Publix Super Markets,66
General Dynamics,84
Exelon,79
Plains GP Holdings,56
3M,91
AbbVie,54
CHS,84
Capital One Financial,57
Progressive,91
Coca-Cola,68
