Walmart,10
Exxon Mobil,6
Apple,5
Berkshire Hathaway,5
Amazon.com,14
UnitedHealth Group,11
McKesson,15
CVS Health,4
AT&T,14
AmerisourceBergen,6
Chevron,3
Ford Motor,7
General Motors,15
Costco Wholesale,6
Alphabet,3
Cardinal Health,8
Walgreens Boots Alliance,2
JPMorgan Chase,5
Verizon Communications,4
Kroger,4
General Electric,5
Fannie Mae,3
Phillips 66,8
Valero Energy,9
Bank of America,10
Microsoft,8
Home Depot,4
Boeing,9
Wells Fargo,6
Citigroup,4
Marathon Petroleum,7
Comcast,6
Anthem,7
Dell Technologies,9
DuPont de Nemours,11
State Farm Insurance,9
Johnson & Johnson,8
IBM,8
Target,11
Freddie Mac,9
United Parcel Service,15
Lowe's,9
Intel,7
MetLife,9
Procter & Gamble,4
United Technologies,8
FedEx,6
PepsiCo,10
Archer Daniels Midland,12
Prudential Financial,5
Centene,8
Albertsons,10
Walt Disney,5
Sysco,2
HP,8
Humana,13
Facebook,9
Caterpillar,5
Energy Transfer,6
Lockheed Martin,7
Pfizer,8
Goldman Sachs Group,9
Morgan Stanley,7
Cisco Systems,5
Cigna,9
AIG,4
HCA Healthcare,8
American Airlines Group,13
Delta Air Lines,5
Charter Communications,11
New York Life Insurance,10
American Express,4
Nationwide,14
Best Buy,3
Liberty Mutual Insurance Group,3
Merck,5
Honeywell International,10
United Continental Holdings,9
TIAA,14
Tyson Foods,6
Oracle,5
Allstate,9
World Fuel Services,9
Massachusetts Mutual Life Insurance,12
TJX,7
ConocoPhillips,7
Deere,9
Tech Data,11
Enterprise Products Partners,16
Nike,11
Publix Super Markets,5
General Dynamics,4
Exelon,12
Plains GP Holdings,2
3M,7
AbbVie,9
CHS,9
Capital One Financial,13
Progressive,8
Coca-Cola,4
