,gen1,gen1m,gen2,gen2m,gen3,gen3m,gen4,gen4m,gen5,gen5m,gen6,gen6m,gen7,gen7m,gen8,gen8m,gen9,gen9m,gen10,gen10m
0,0.22,0.2,0.17,0.4,0.18,0.14,0.22,0.19,0.15,0.17,0.24,0.22,0.21,0.27,0.18,0.18,0.26,0.22,0.22,0.22
1,0.22,0.25,0.18,0.15,0.23,0.26,0.21,0.18,0.19,0.19,0.21,0.26,0.22,0.36,0.29,0.33,0.23,0.32,0.24,0.17
2,0.17,0.2,0.29,0.23,0.16,0.16,0.19,0.16,0.21,0.32,0.25,0.25,0.14,0.07,0.16,0.21,0.23,0.26,0.16,0.19
3,0.2,0.23,0.17,0.23,0.21,0.27,0.24,0.21,0.2,0.24,0.27,0.34,0.24,0.2,0.19,0.26,0.3,0.35,0.23,0.32
4,0.27,0.24,0.17,0.17,0.17,0.23,0.25,0.14,0.2,0.31,0.31,0.29,0.12,0.13,0.2,0.23,0.19,0.54,0.13,0.61
5,0.33,0.41,0.24,0.13,0.27,0.35,0.25,0.3,0.23,0.32,0.27,0.32,0.24,0.26,0.23,0.27,0.13,0.13,0.14,0.38
6,0.2,0.32,0.22,0.23,0.17,0.23,0.16,0.16,0.28,0.73,0.19,0.3,0.2,0.18,0.19,0.31,0.21,0.21,0.16,0.27
7,0.26,0.24,0.2,0.17,0.21,0.17,0.15,0.2,0.27,0.2,0.19,0.2,0.23,0.18,0.17,0.31,0.18,0.21,0.23,0.43
8,0.31,0.77,0.18,0.2,0.25,0.2,0.23,0.17,0.18,0.32,0.17,0.2,0.16,0.2,0.29,0.33,0.12,0.2,0.21,0.22
9,0.19,0.18,0.19,0.22,0.14,0.25,0.16,0.27,0.2,0.23,0.27,0.33,0.23,0.25,0.27,0.28,0.25,0.24,0.24,0.26
10,0.3,0.34,0.16,0.23,0.17,0.22,0.19,0.16,0.13,0.14,0.16,0.31,0.22,0.31,0.3,0.19,0.21,0.28,0.27,0.31
11,0.2,0.2,0.18,0.22,0.2,0.32,0.18,0.37,0.18,0.21,0.22,0.28,0.3,0.37,0.18,0.25,0.26,0.36,0.24,0.24
12,0.18,0.23,0.17,0.25,0.22,0.15,0.22,0.28,0.21,0.27,0.19,0.28,0.15,0.29,0.22,0.37,0.16,0.19,0.2,0.26
13,0.22,0.22,0.09,0.16,0.18,0.2,0.13,0.19,0.16,0.36,0.17,0.22,0.18,0.21,0.19,0.28,0.2,0.33,0.2,0.38
14,0.15,0.29,0.2,0.28,0.19,0.2,0.15,0.18,0.31,0.24,0.2,0.28,0.2,0.29,0.22,0.21,0.21,0.15,0.16,0.24
15,0.2,0.14,0.21,0.23,0.21,0.16,0.17,0.21,0.24,0.19,0.35,0.39,0.14,0.11,0.22,0.29,0.24,0.24,0.15,0.37
16,0.17,0.19,0.15,0.15,0.2,0.26,0.2,0.59,0.27,0.32,0.24,0.26,0.11,0.25,0.26,0.37,0.18,0.25,0.21,0.19
